a,b,c,expected
da9e,1a1c,8838,b90e
d3eb,24a0,81b4,bc94
bb09,50e5,333e,d047
b348,74c0,726b,7042
b964,695f,9b60,e73d
b501,e26d,6e81,6ec1
a27a,6bc4,c7c9,d342
8a73,d6e5,8924,2585
6581,8ee8,e33c,e33d
88e9,dd27,16be,2a89
6218,657a,3ea5,7c00
2324,37f4,2cd1,2d43
5a1a,6353,e8b1,7c00
9fa1,c22b,ec47,ec47
1f83,fdfb,14dd,7e00
53b3,3b36,f0e3,f0dc
6748,dce8,3d0b,fc00
978d,f0fd,5aa2,5b39
3805,082e,cd96,cd96
4b72,aa43,60fd,60fc
0dc0,c03a,7d88,7e00
ce76,e6b9,4a2f,796e
13f6,b4be,a108,a12e
86ab,b62d,ec8e,ec8e
48f5,acd7,89b4,b9ff
caaf,7f47,29db,7e00
4d7f,c3a9,836d,d543
aa90,2222,899e,9270
ec83,7f2f,918d,7e00
adfa,7c98,97f7,7e00
5f2d,ae2f,48a7,d062
beb1,ef06,d65e,71d3
573b,7b22,60e5,7c00
72be,4593,988f,7c00
bf95,46a3,b612,ca7b
2f81,3843,ebf9,ebf9
c861,e006,1b2e,6c68
d0b0,64cd,712a,f856
871f,cf90,28e4,2950
2b7f,e276,610d,60ac
f050,f69f,fcbb,7e00
4ebb,7333,01f4,7c00
fac1,55e6,1f03,fc00
55e7,b3dd,35dd,cdb6
4abe,c520,4869,d38a
9280,0260,abe3,abe3
d3f0,363f,467f,cc93
0cde,d724,c7cd,c7d6
697d,3b45,5786,6939
f067,6a97,4c71,fc00
85fb,b7c3,7436,7436
9078,dcd8,0e7a,316c
2c02,5c5b,5196,53c4
e2a3,b9b8,2676,60bf
31af,538c,b03c,494c
fad5,4dd8,b4f6,fc00
0eea,1f97,dbaa,dbaa
bb64,8d73,bd20,bd20
564d,0417,a995,a8c7
e533,aff2,4a64,5990
7d73,1efa,3e7a,7e00
68d6,f105,9b92,fc00
bf4b,fd59,f59c,7e00
987a,62fb,293f,bfa6
df8d,0d50,d89d,d89e
5d46,4694,b440,6856
f170,8365,9403,9403
6aad,7e87,6391,7e00
d6f3,6c3b,5c2c,fc00
5a47,e65e,421e,fc00
889b,4b77,42ef,42ee
883f,e1a4,e942,e942
1c6c,65ce,d643,d5dc
c222,38fa,5361,5324
49fd,0623,99b8,96d8
e1c5,ca83,db30,7095
26dd,92a6,3111,3111
803b,7155,6589,6589
e870,fcdc,b716,7e00
5843,453a,61d2,65b2
1b59,6906,1f0c,489e
7c82,49a7,bd0a,7e00
62cf,64d3,a232,7c00
a3d6,eb96,e91f,e901
d1a8,7229,b2f6,fc00
9fa5,c6c2,50f3,50f5
1ec7,df65,9e78,c247
cbe7,254d,e947,e947
6aca,d469,46f9,fc00
b776,ffa9,87aa,7e00
3b20,9c4e,a4a4,a599
174d,0a76,57d9,57d9
b438,f3bf,abbf,6c16
94bb,4c33,8c47,a508
8af0,c143,ee63,ee63
7d51,c89a,583a,7e00
dd12,8702,a8c8,9970
0926,ed41,ad48,bb6c
27b7,f585,cbe5,e173
851b,bcaf,ba61,ba61
b95c,05af,e3c2,e3c2
66b5,a97d,950f,d49a
09eb,8e22,894a,894a
636a,ee56,489d,fc00
31af,fd44,8473,7e00
0e07,526a,126a,2508
aa71,f1b2,6609,682a
6b1b,73a3,123b,7c00
2109,bd8d,2065,9d30
fc3e,bbe4,5eae,7e00
eac4,5bf6,fb37,fc00
4f85,65fe,88dd,79a2
eb92,49b3,44bd,f965
d27f,2bb0,514d,50e9
638a,662d,a644,7c00
3d2c,395e,976b,3aed
8239,5f9f,fad7,fad7
f872,8609,038c,42b5
916e,0ff3,0d0c,0d0c
9b23,7c55,1b7f,7e00
9bc8,c979,2c92,2f3c
1bf3,e875,63f5,63e3
ec86,9a0e,c750,4662
932d,20cd,bce8,bce8
c32f,c041,2fcd,47c3
8803,0002,dd02,dd02
b6ca,0144,f4ef,f4ef
97f6,425c,531b,531b
ca16,f71d,7d3d,7e00
ea56,8c32,5f28,5f2b
3dd5,fb3f,4c2a,fc00
2ccb,015a,3439,3439
b03a,eaa7,36ad,5f09
a9fe,ad3d,fdb0,7e00
8d73,c8ce,606e,606e
8016,f5ab,4ee8,4ee8
27ab,3312,46ab,46ad
ac0a,1a3b,97a5,9837
4ee7,62ea,0202,75f7
d88f,0bdf,16e5,a845
fe08,cb28,4925,7e00
e144,98c0,8d22,3e41
de7e,8da2,c9cb,c9b9
77e3,5fd4,942f,7c00
0c6a,5d07,4cfc,4d02
661a,4608,56db,70a8
ac9d,620d,7396,738f
981c,5219,26d5,ac8f
d88e,f272,6348,7c00
48d9,b250,22c8,bf98
a042,62f8,d88f,d8ca
148c,3559,e1d0,e1d0
905f,7197,2c75,c60a
f73d,3eb8,5323,fa12
05bb,52f4,17d5,1ef0
1d7b,0ac8,9915,9915
3168,8571,8e6d,8e6d
b0d3,5502,46a3,c571
4460,94d1,c623,c624
3309,be63,b814,bae3
42d8,2db0,4267,4303
8172,ed88,9a6f,9a6f
54da,75f7,f277,7c00
72f8,d34e,23b3,fc00
c45f,a5af,58bb,58bc
69f4,5b6b,0976,7c00
f9b1,9da6,348f,5c06
6e1b,69f2,b805,7c00
253c,ef05,34e5,d896
3c79,a5ee,96c1,a70d
1a68,a7a7,a2c6,a2d2
51da,823d,6b1b,6b1b
c1fb,5a4f,08ae,e0b7
de08,72b3,c50e,fc00
66a1,0313,6ecd,6ecd
923b,c8b9,624a,624a
2c5d,ce42,b201,bf93
ccb1,6a8d,97b7,fbaf
bfdc,4fc4,e22b,e2a5
86ad,bf85,2f87,2f8a
b126,3ce6,6ceb,6ceb
545c,05e6,782b,782b
ea1a,570f,adda,fc00
3826,5fe7,5d80,60cc
6fec,8db2,d7be,d7eb
d920,f0f7,0e31,7c00
6966,45b5,571a,73c2
18d0,887b,b3ce,b3ce
f755,def8,2192,7c00
211b,da96,fa3f,fa3f
57e3,a0f0,70a6,70a6
76ef,9230,feba,7e00
2893,a2bc,0a6e,8c7c
e77f,1108,89f4,bcb7
4916,caec,9b86,d867
889e,143b,f1f2,f1f2
3d3c,c64a,61e7,61d7
c1d0,d0e3,e299,e1b6
1563,25d1,1b35,1b35
831e,caf0,6ce2,6ce2
cca8,8d1b,4f59,4f59
b105,ef21,035b,6479
616b,b7fe,37ee,dd68
9e08,ef5c,2861,518d
f40b,2b0f,3246,e322
939e,9da0,edf4,edf4
f886,9902,6393,6424
ba04,37c2,46ee,4691
4d25,5f4e,3e62,70b3
75b7,2096,b5e0,5a8a
9d01,f363,2c94,54a0
8bcd,908d,98fa,98fa
3bbd,cee9,338a,cea0
ba83,642e,ed73,ee4d
705d,42f8,9163,779a
9213,8ab3,dd0f,dd0f
a7e1,55ac,9a87,c198
5eec,5abd,1ad3,7c00
2394,783f,0f67,6006
fb9d,3ca3,8d84,fc00
05d4,8e25,22d6,22d6
b612,b2fd,6649,6649
539a,dfe2,728c,f437
7388,7c10,5a5e,7e00
52e9,23ab,dd2c,dd29
c057,7729,c232,fbc5
04f4,a5d2,15b9,15b9
fc70,71b9,d79d,7e00
ff84,2c07,e624,7e00
922e,cc63,1d58,24ba
deac,0af0,7b84,7b84
f9e0,dabe,ed55,7c00
53ae,a4e9,d318,d33e
fcea,787d,72b1,7e00
31dc,52ac,a973,48de
0477,721d,1a2f,3ad9
70b2,ac5d,2a36,e11f
c2eb,1bb6,d92d,d92d
3f1e,eda1,bf5b,f102
6a49,35c3,8da0,6487
e737,2fb9,a479,daf7
8838,4f10,93ff,9cb9
d48a,34c6,cad0,d06a
cfdb,0710,5568,5568
fe89,0199,0285,7e00
ef50,460f,3666,f98a
d4f2,0459,ce03,ce03
c03d,64d3,f0f7,f23e
c6bf,11f0,b837,b841
5fe8,f1ca,cb96,fc00
4d20,561e,5f86,68dc
3dd5,a584,fda4,7e00
ee00,a6c5,5a2c,5da0
8e2e,7bc3,7edd,7e00
0f1d,1450,a9bb,a9bb
07f7,3317,5d1e,5d1e
851b,efac,19ea,38eb
fd83,06bc,5626,7e00
9252,0997,b946,b946
c3ad,1bb4,d4af,d4af
67f4,9e08,a715,ca03
797e,0bf5,7d01,7e00
295a,710f,2504,5ec5
618b,0eb3,b099,30af
5e0e,e442,8b48,fc00
26ba,d15b,0fa6,bc81
443e,1963,8518,21ac
2c28,761b,596e,6706
43f6,b114,60dc,60db
d6d8,2edd,783c,783c
a466,6cb8,678a,6737
fc92,a84a,21d8,7e00
9400,c19f,75d4,75d4
756c,c74c,36a1,fc00
9010,45fd,def2,def2
05b6,b76e,5e12,5e12
0749,8fa9,2c3a,2c3a
66c8,6c72,38ca,7c00
df25,1e1e,fcc1,7e00
61d7,0c69,6b6e,6b6e
fbc4,4b31,0c7d,fc00
899d,5e66,b6a2,b7c1
0dfd,21f4,9f3a,9f3a
8078,06ef,7f90,7e00
025e,dfc1,1ccf,1ccf
fe94,f15d,0333,7e00
2cc0,7a8d,030f,6bc7
c736,1d88,71f0,71f0
0187,5ec8,eea1,eea1
846c,eba0,29d5,34f2
915d,3306,b6d1,b6d2
2894,b8ff,6d84,6d84
14c6,f78b,d5ba,d7fa
7750,fcb9,5157,7e00
c2a4,986b,4252,4256
6f2c,ac4f,0cfc,dfba
5818,d91a,de32,f552
0b76,13a9,9a6b,9a6b
17c6,90ed,aba9,aba9
693b,c347,49ce,f0c1
eeb9,124f,0b47,c54d
0be3,465f,457d,457d
ddd0,17e3,7095,7095
595f,c9b9,d18a,e7db
ed6c,c005,ca15,7171
7fcd,a0db,eb66,7e00
a00b,8b1a,1580,1580
dabf,21c9,68e0,68df
f94f,60a6,3d3b,fc00
9c73,b745,87b5,179b
6798,39f1,c893,659b
f023,1d96,1fcf,d1c7
5d80,8ef4,53dd,53d8
bd9a,f933,9281,7b48
40ef,e394,8b88,e8ac
2d6e,4357,792f,792f
6a68,8ca6,0229,bb72
5fc6,aafd,a75d,cecc
352c,2b81,fbcb,fbcb
64cc,a0c2,9caa,c9b6
7ef9,ae67,d76a,7e00
2591,3c26,eeeb,eeeb
0a85,78fb,eea9,eea7
07b3,d51a,38ce,38ba
21f3,348e,5012,5012
0ebd,4e3f,9ee5,1b42
0b32,c2ae,7f38,7e00
0813,5713,6f51,6f51
c1bf,7ce1,a6e6,7e00
a464,7ae2,4125,e389
7625,d040,89f2,fc00
204b,9b84,0ebf,0ebf
ea7a,2c7c,281a,db43
f666,6513,763b,fc00
eaa7,d052,b9e5,7c00
0dce,0805,9bc8,9bc8
46a3,f16f,c9d6,fc00
26c9,d5c0,a78a,c0ef
9ab0,a171,7d53,7e00
0e9b,5115,8153,2432
0b2e,4265,444f,444f
6ec1,2318,5a5a,5cac
2042,30d6,919f,10ad
9c90,3227,6ed3,6ed3
d51d,823a,a21b,a21b
fc2e,14ec,4074,7e00
2896,7452,9c38,60f4
f6d8,cbd7,4d80,7c00
f4db,751c,8beb,fc00
36f1,e9b1,293f,e4f0
e662,20f1,21d0,cbe2
a8ca,f224,7af5,7b04
b5bc,9e7f,9c86,9864
7359,4756,fe3f,7e00
9311,d21c,c9e6,c9e1
a771,8ee1,223b,223b
55e5,5e35,fb47,f568
ea94,b994,8e39,6896
6db0,6e23,0290,7c00
3cf9,4c4f,e3b4,e389
100e,abce,1c27,1c27
f450,bdfd,8132,7675
a2c0,518c,22a5,b893
7bc9,ab60,2f99,eb2d
fccb,a0d2,518e,7e00
0574,0d84,9101,9101
c872,b14d,715c,715c
a8e8,1dfc,91c0,9396
0c4c,2ff0,033b,0000
0a5f,a861,da37,da37
ee75,b1cd,21f3,64af
aa76,2425,deb8,deb8
1d65,34f1,d432,d432
8da8,d7ce,107e,2997
6466,c7c5,29dc,f046
ece4,ead2,59b3,7c00
5580,1054,0566,29f7
f311,381a,fb5b,fc00
1047,cc5e,ca4b,ca4c
95a9,e405,d459,d442
764f,3cdd,6652,7809
be51,7097,ee2c,f52a
24d3,2a46,d506,d506
8f8f,c57d,5e39,5e39
1838,39a9,566e,566e
f08d,5a37,660b,fc00
c75c,fc0e,3407,7e00
3ce6,b4b9,d434,d43a
0888,58ad,1b5b,2637
a0da,9d06,90fe,90fe
632b,e10d,b64a,fc00
98df,7372,d25b,d572
6c85,a4a2,86c5,d53c
32bc,cb97,4048,bc38
d381,97e5,decd,decd
13b2,721e,1f7d,49e3
efdd,c276,2b1a,765a
55e3,036d,7e9e,7e00
f4fe,e2f4,6a69,7c00
50c5,25aa,89ec,3ac1
fe77,8051,c533,7e00
ff0d,26ba,9f13,7e00
7975,be33,fdca,7e00
b9f4,c164,a527,3ff1
0243,312b,0285,0000
bd56,1877,3e38,3e35
68b9,aa47,7c9d,7e00
6ce3,2133,00e9,525a
440a,e8ae,eb04,f27b
3282,3b8e,9781,3216
9401,baf8,86c7,1221
10b5,03ad,015d,0000
6a7e,057d,1d28,3489
34c4,7d1d,ae2b,7e00
0609,d0e0,e6d7,e6d7
c6d2,711d,1ed8,fc00
454a,ae30,9ca2,b820
10c0,6490,529e,52b4
5745,afcc,9ab3,cb16
8a19,5263,0384,a0de
b66e,4d0d,7032,7031
5e0e,407f,468b,62db
46f1,142d,60e9,60e9
29bf,4247,85ba,3081
21f6,9a5e,f399,f399
f11c,8483,77b1,77b1
e5db,9f18,c3a7,468e
aa1f,c163,47ca,47eb
1424,767d,d889,d764
a5a5,75bc,2a63,e00c
dcf1,14f4,f61a,f61a
2cd0,0f86,49c8,49c8
4862,5df5,9c88,6a87
04ba,5823,a275,9a48
2a9d,f5de,d312,e513
9aa8,9836,65d6,65d6
0453,ac05,937a,937a
8d6a,9f57,2bee,2bee
4aff,9b95,eec5,eec5
47f3,9a97,9b3d,a774
00a9,6ef7,68f8,68f8
3295,b8d1,338f,2f31
eae3,ecf3,388c,7c00
a277,a324,78b3,78b3
5397,ba7c,ffd2,7e00
5af1,b6d3,0bda,d5ec
3410,ac0f,d180,d181
4d54,137c,1bda,25f7
bb00,8f1d,d7d3,d7d3
0317,302d,a9f7,a9f7
8f01,ec8e,0d1c,3ffa
9d62,133d,2a0c,2a0c
d3d2,2f40,9a2c,c717
082e,b20f,bf7d,bf7d
186a,3c02,a267,a14c
b3c5,fc5e,5484,7e00
2f99,9b5b,3f0e,3f0e
d0c8,88fd,a8b6,a7ee
1495,2624,abd4,abd4
69e9,41f8,399c,7069
c799,c745,75fb,75fe
ce8a,ce63,c193,6132
50eb,a653,0b5a,bbc7
6bc5,2e20,5278,5ec2
5e1d,fdb1,0621,7e00
ae84,f8cf,008b,6bd5
124b,9a4a,6733,6733
ed32,2b94,13c6,dcec
d239,6c61,887c,fc00
57bf,8d5c,1885,a8e8
6be3,84e1,d7b0,d7b5
bec7,7624,0a89,f934
f6cf,8ac1,3a37,4687
b152,d346,5941,598e
8f2c,1c56,805e,0000
10c3,f0bf,3a8f,c4d4
b209,32f0,9694,a971
d3db,bbed,e68b,e64d
200c,88fd,4ff3,4ff3
d7e7,9850,fed1,7e00
0174,9189,3779,3779
16db,178c,e1a1,e1a1
f43a,f87f,c330,7c00
7305,e70b,4e1c,fc00
6d4c,ab7b,f919,f923
5e43,58ce,dd0f,7b7b
8534,3992,2cae,2cae
d8d9,be9f,b945,5c00
02f3,f4fc,0dc5,0dc5
74bc,0704,35ba,40de
2f81,cbf3,0881,bf75
6de4,0802,c7c5,c708
dd5e,622a,bc84,fc00
96b1,d5ed,6109,6109
639a,a817,6215,61d7
9758,b802,2f8f,2f9e
069d,f36f,f9aa,f9aa
c803,6e6a,b327,fa6f
6b0f,39f6,f0e7,ef2d
8b68,52ed,1047,a225
5857,d20f,a375,ee93
da5a,79c1,97fb,fc00
79b6,fe13,85b2,7e00
4ed3,2c53,8d52,3f61
cfb8,d87d,8232,6c55
bc11,d7cc,1b50,57ed
2fba,db60,9e74,cf1f
767b,961b,57c4,554b
4b9b,c158,d9d3,db18
dbd4,d88c,f405,74e1
0a9c,7e69,6a76,7e00
a688,961c,f6a5,f6a5
9c40,ac37,531d,531d
ef71,445f,2778,f811
ebba,88d6,c2e6,c1bb
f039,5389,7deb,7e00
2994,54b7,bd19,4006
ff0e,aad0,9ca2,7e00
bc58,830e,8060,0000
224a,7457,da05,4e70
7a9b,343e,b21c,7301
532f,48be,bfb9,603e
6394,facb,4d15,fc00
aa1a,3054,b54e,b568
89b8,ced1,1e89,21b4
4b15,fcab,f753,7e00
bfff,c952,f69b,f69a
9ce4,4731,e4b2,e4b2
d4f6,f3eb,1f80,7c00
92a1,36a2,a2d9,a305
013c,dd1d,804b,0000
53cd,abe6,7dc3,7e00
00cb,9ed7,19a7,19a7
b6de,b0c0,1d24,2c66
cebf,6b80,df8e,fc00
db0c,dd9c,d5b6,7c00
f92c,1103,7cbf,7e00
fd0e,cbeb,0a67,7e00
a1af,6acb,72b7,72b2
dcd8,4c5a,20c5,ed45
53d6,fd8e,0026,7e00
bac4,e9d6,284e,68ef
22d8,ef3b,cc5d,d746
d2ab,982a,b083,a82a
484c,37b1,5ce7,5cf8
9026,7e35,5896,7e00
8ebb,3bcf,15a2,13fb
bf35,0cb9,993d,9a4d
b5cf,b5af,2c86,3263
75f6,3eac,550c,78fc
39b4,fa72,fdf1,7e00
1edc,2a26,7153,7153
acf1,c4dc,aff7,3403
0291,ab95,46a3,46a3
5168,d7b4,5f6f,ecbe
6be3,7f47,fb02,7e00
38bd,f99c,b148,f6a5
e707,74dd,174b,fc00
b6ad,585b,11b7,d345
dc69,38f4,bd30,d980
ae2a,ef89,fb8c,fb75
07b8,df01,f340,f340
8e55,d060,b7cf,b798
03a9,fbb9,55dc,55dc
4509,923e,c866,c866
1cfd,bdc6,733c,733c
e200,3299,05ec,d8f3
b504,a822,857c,2124
d18c,181a,678b,678b
e75d,0931,2edf,b21e
2aba,f69e,0244,e590
e8a4,4d01,2065,f9ce
11c6,b0c0,6f02,6f02
cb93,f381,f329,7c00
012a,9014,402c,402c
1ddf,09ef,4f13,4f13
12aa,f6b1,38de,cd6c
d12a,cde0,3c17,6398
7551,4c53,ec3b,7c00
c11f,4e79,8204,d425
fb81,0899,7918,7918
19b1,3155,9fa6,9f2d
f055,8e4a,1b0a,42d2
10be,6cfb,efec,efeb
7443,0f60,6491,6499
83de,536b,ee79,ee79
779b,1e29,c73b,59a1
9ffd,8a95,cfa7,cfa7
ca3d,b4fe,0882,43c9
8346,73be,b578,b578
2613,ffea,e4c6,7e00
5346,f8dc,67fb,fc00
a599,1fa8,ba82,ba82
1caa,0490,f9e7,f9e7
3b53,7961,dcb4,78e4
03b3,80a0,71cf,71cf
2c3b,38d6,0a43,2923
f7b7,3f68,f4bf,fc00
49e7,48e0,cd87,55d0
d2c4,40a0,c6f8,d821
e798,59c6,4c6e,fc00
ef86,fc3a,3a20,7e00
ce28,2ea0,781c,781c
e2fe,47eb,2fa6,eeec
20b8,0768,acdf,acdf
8964,49eb,42dc,42db
f73f,2655,8241,e1bc
c871,a179,4f08,4f0e
451c,3060,8349,3997
c87b,e09b,986d,6d29
b034,fcad,66a6,7e00
2a4b,4d39,12d5,3c1d
d6b5,4585,002c,e0a1
73a7,4696,1474,7c00
6879,19e1,6ca9,6cab
4aa5,658f,9f49,749e
0fae,9694,11f3,11f3
a049,cbca,9894,301a
0618,e37b,2c3c,a5dc
6761,7435,64de,7c00
2eda,41d8,d53b,d536
88a9,62bc,a81f,b0f4
4034,0bab,208a,20ca
6575,fc2e,4859,7e00
833b,2823,5fe4,5fe4
bbf7,bfbb,6ba0,6ba1
c4e0,7229,92e3,fb82
710c,b38d,20b9,e8c3
0d72,f364,1cea,c507
8c79,79a7,1340,ca52
2584,bb9d,6c74,6c74
35d1,9dac,cb64,cb64
63f7,11b9,f026,f026
db8b,7ca1,b66c,7e00
960d,10a5,878f,878f
df69,65bc,91ba,fc00
114a,f3e0,054e,c935
346f,86e9,6ac9,6ac9
eb42,f88a,f70a,7c00
f70f,64a5,b59d,fc00
44a8,8b00,987b,9a84
6e25,5b71,12f8,7c00
76ec,5461,bc3b,7c00
4412,547b,a0e1,5c8f
27ba,1a63,5943,5943
8f89,7410,2ef7,c78b
fc4f,ea54,875b,7e00
f5c7,021c,2285,2285
d3dd,52c1,9276,eaa3
fd79,5b6e,f0be,7e00
bf9e,c698,2356,4a49
99ea,8194,cd0f,cd0f
9e83,9b6a,e9ad,e9ad
6207,7685,2b7c,7c00
857f,2334,1b76,1b76
dcbf,ae5a,51b2,54bb
1ef8,7fe3,2efb,7e00
cfe3,183e,6cd7,6cd7
4885,7bbd,726a,7c00
8ca0,bd01,61a8,61a8
c60f,8165,2d76,2d76
463a,d408,63f2,60cf
e0c4,f474,2409,7c00
635d,7a06,415c,7c00
6ec1,bd93,067a,f0b5
623e,3403,471b,5a7c
d947,96f9,99ff,348e
a3a2,f881,4fa8,6089
179b,f24a,41e3,cd3f
8f48,0165,b180,b180
60fd,ef9a,a342,fc00
84a6,76c8,66a7,66a5
731b,91d4,d75b,d800
a1ec,7397,0d51,d99e
f032,2c37,6848,665a
ef19,fa57,a033,7c00
f87c,6105,6bba,fc00
0774,7f0b,0e3e,7e00
de23,3608,4949,d84b
2d42,50f0,151c,427e
5746,0659,7d07,7e00
952a,64cc,9122,be32
18d2,856d,d715,d715
45cf,face,b941,fc00
d965,2394,285d,c10b
c2c6,475e,88a8,ce3d
4528,3fb0,f7f6,f7f5
5ee2,ea03,3861,fc00
7ec0,7f09,115d,7e00
92df,2a42,5e89,5e89
1b48,a190,02ee,0000
b5c2,15da,f334,f334
35a2,1c03,dd43,dd43
7970,c75f,4e65,fc00
c58a,ca2b,7476,747a
cebb,f6e6,d3ec,7c00
f3c5,b3f6,f4bd,f38b
27e2,e7f4,a66d,d3d7
8d9f,232d,d716,d716
7869,d8a4,d27d,fc00
3d59,8c61,83ff,8ddb
25e5,67f6,394a,51f3
c571,bdb9,1477,47c9
3f54,492a,0357,4cbb
248e,cac2,c681,c6bf
0fc6,f784,a7b4,cb52
f7ac,4e67,445c,fc00
ad28,d1be,f9df,f9df
02dd,eec7,771f,771f
8b69,ad01,3209,3209
a6aa,3576,0daa,a060
a464,126d,12f6,12f6
8742,a8f3,3816,3816
5561,89d1,3ce0,3cd0
1360,8dbb,67d0,67d0
6705,490c,aa14,746e
c7de,b939,8877,4523
4bd4,7de0,e79b,7e00
6477,f2c5,1087,fc00
4c4c,1d61,fc39,7e00
e3a7,2c55,8000,d425
a04c,73c0,f609,f611
1dbb,4a44,57f6,57f7
a893,c23d,060c,2f24
60b9,36a4,7209,7228
ef02,38a1,fd21,7e00
179d,4da4,68c3,68c3
6021,1e9f,6654,6657
9639,c768,c997,c996
a708,9528,f797,f797
f218,2823,9507,de4d
857d,3871,6e68,6e68
aa5c,3e58,11ba,ad00
c4a2,7025,085b,f8cd
8a76,8ed2,4a9f,4a9f
b864,5f70,91fa,dc15
28b2,e91b,afb7,d600
9162,7787,2d28,cd0c
4f75,3616,17b5,49ac
21e7,33ed,8116,19d9
8a1f,e289,fe50,7e00
6ba2,8162,bd3e,bd3e
48c2,9323,985c,a156
c9b0,822d,b41a,b41a
0d9e,40a1,ff4b,7e00
5864,c2ba,a7b5,df62
0dd8,4ec1,889d,20dd
c1eb,47c8,fb96,fb97
c408,4cd3,edb6,edc9
5780,1337,b2a6,ae88
d756,e311,c729,7c00
83df,306e,5b48,5b48
58ca,46f7,d440,63ce
f6ca,44a0,e99d,fc00
8684,1ab1,16c0,16c0
e909,023b,90cc,90cc
4e9a,0247,dc9b,dc9b
e8ac,e133,f1c1,7c00
e03d,dd74,55cb,7c00
91da,3d7c,6ecc,6ecc
163b,2855,c7a7,c7a7
bc8e,5f5e,1406,e032
f926,67f0,0eb2,fc00
0ae2,0606,c68b,c68b
320d,4021,ef79,ef79
3fa6,0aef,dd48,dd48
473f,ae60,1b0b,b9bf
8a7d,c421,1b1a,1c63
5195,7411,ddad,7c00
99ab,ab91,1124,127b
1786,0a43,ceec,ceec
1c4f,ac55,0e3b,0640
582f,4eb2,5763,6b3c
6853,a25e,c933,d0be
68fb,35e0,6f4c,701b
b0b3,be53,4535,4570
4fa8,49a9,17ff,5d6b
ede5,8e95,4826,495c
4d16,332f,ba70,4386
6177,07a0,8e7e,2d2f
e828,c69d,b6cd,72df
782e,ade3,b0b8,ea27
6047,7a38,06ee,7c00
c23d,d955,9238,6028
13c3,d4f2,cfe2,cfe7
9947,57e1,6e7b,6e7b
b7d5,a098,d4fe,d4fe
a2d8,b5a7,28e7,2982
2610,0e4f,edef,edef
30af,3ffa,5a26,5a28
97fd,d88e,1810,3494
b0f8,6c22,f320,f372
63e7,9be6,7891,7891
539d,5ad6,98a4,7281
246e,9286,4c49,4c49
5fcf,8a9b,3ed6,3e6f
a161,5511,f3ae,f3ae
a516,4ff2,8e93,b90e
3c1e,b20d,f616,f616
e1fd,4601,9f9c,ec7e
80b1,4948,9e3a,9e3a
a320,daaf,0cab,41f4
758b,0e52,43a9,4a4b
4bd3,47e4,eade,eaa0
5c22,3928,add4,5953
07b6,e5ee,aa6d,b352
04ea,9b8c,4c26,4c26
a4da,34d8,4ac1,4ac0
56a2,ca73,f747,f79d
3aa0,2e58,ffd4,7e00
81a3,a28c,0b37,0b37
ecad,7ac8,3b62,fc00
332d,8363,f070,f070
3f6e,2bab,60ad,60ad
f3f2,7849,1f44,fc00
bf1e,527c,e617,e673
501f,bcfd,51f0,4660
7c70,88c2,320f,7e00
09b8,45e8,15f0,1914
cad3,c66b,8017,557a
8921,cb7f,7933,7933
312f,9f56,1276,8e18
c6b4,9bb6,1025,2697
d981,02e8,f644,f644
5051,7475,5ff9,7c00
1734,8031,5a9c,5a9c
1849,4be9,2ab6,2d7a
d469,1ebc,4f31,4f13
9f0f,6656,ff5d,7e00
ad45,baab,66fb,66fb
b963,5dd3,d68f,dd90
4d1b,63f5,f8b8,f45c
a099,2b55,1875,16ce
c90a,4d80,bb44,daf5
e8fe,5cf0,50aa,fc00
efad,a268,cbe9,5529
5223,fe41,94b8,7e00
4785,1abd,1a9a,2728
3b7c,8999,1ae2,1a8e
de8c,664b,1091,fc00
4c25,29e9,3105,3b61
947d,a65b,5f1b,5f1b
9158,fd04,9dba,7e00
07ce,eb6e,c46b,c4df
87c8,b62c,df6f,df6f
bdb4,6201,93b0,e448
c2c8,6c59,00d6,f35f
9672,f53e,e25b,e217
db45,8eb9,9303,2e0e
e29d,c438,722e,73ec
2591,28dd,41da,41da
246b,c35e,232b,aa59
b8b3,90b0,21e6,2212
399d,e2b3,4c24,e092
6a3e,410b,6310,7060
4f21,2b9b,9983,3ec4
4961,532d,6d0d,6da7
ebff,c90c,dff0,78fb
ddb9,bd30,74f5,7513
44b1,5442,4114,5d08
d4cf,e132,7625,7c00
c276,ca19,da05,d8ca
dd11,1ce8,8471,be37
e885,7da8,1b38,7e00
06b1,2418,a62f,a62f
8d17,9f9d,7556,7556
332c,a72a,9847,a048
bbf9,23b7,e7f0,e7f0
44c8,5545,a020,5e4c
4060,fe2c,1106,7e00
3b69,3391,0c45,3304
df2c,b924,fb94,fb8b
6ad9,2cce,40ab,5c26
d2f5,739d,758a,fc00
b4ff,fd07,6384,7e00
fd07,fa04,f409,7e00
f10e,22e5,d537,daf6
9d71,ea36,2782,4c3b
7a28,aa89,e186,ea68
83be,7c72,d23e,7e00
a157,0d99,c621,c621
f579,1efb,a1c7,d8c6
d5a6,21bb,b0c4,bca4
2b63,e96a,0d99,d900
defb,563d,0589,f971
56e0,1dfc,1b63,392c
da35,429e,d525,e1c7
d771,7818,48ec,fc00
31cc,d540,a063,cb9d
cae3,deb1,c197,6dc2
7c9a,83d1,bdb1,7e00
6aee,55b1,e08e,7c00
fa10,5d1c,ec04,fc00
7a0a,22cf,65b3,6822
61a1,6450,c220,7c00
dbf1,1b30,1d78,bb18
189e,5711,7a72,7a72
acd8,e304,a69d,543f
